Track Name,Album Name,Artist Name(s),,Duration (ms),Genres
Lo Que Construimos,Hasta la Raíz (Edición Especial),Natalia Lafourcade,,279213,latin alternative-latin pop-mexican pop-rock en espanol-veracruz indie
Triste Muy Triste,15 Recuerdos Románticos Con Pedro Vargas (Versiones Originales),Pedro Vargas Y Orquesta,,183346,
Quiero,Quiero,Negrø-Las Nieves de Enero-Jesús Antonio López Guerrero,,222890,indie michoacano
¿Qué Se Siente Que Me Gustes Tanto?,¿Qué Se Siente Que Me Gustes Tanto?,Daniel- Me Estás Matando,,185105,mexican indie-nuevo folklore mexicano
Tristeza,Sinfuturo,Axel Catalán-Los Sinfuturo,,295765,indie michoacano-mexican indie
Mil Besos,Maria Victoria Grandes Exitos,María Victoria,,200773,
Lo Peor De Mí,Canciones Del Ancla,Lázaro Cristóbal Comala-Negrø,,297038,indie triste
Ráfagas,Sesiones Avandadoom,Pirámides,,145500,monterrey indie-psicodelia mexicana
La Vida de Mi Vida,Todo Es Temporal,Jardín,,135000,mexican indie-tijuana indie
Tristes Ojos,La Segunda Luz del Día,Ramona,,199333,latin rock-mexican indie-neo-psychedelic-tijuana indie
Morena,Morena,Negrø-Las Nieves de Enero,,261194,indie michoacano
Llamas,Corre el Tiempo,Daniel Dennis,,242379,mexican indie-tijuana indie
Recuerdos de Ypacaraí,Uno,Ainda,,248360,argentine indie
Azul (with Rodrigo Amarante),Mujer Divina - Homenaje a Agustín Lara,Natalia Lafourcade-Rodrigo Amarante,,291000,latin alternative-latin pop-mexican pop-rock en espanol-veracruz indie-nova mpb
Sabor a Mí,Personalidad - Los Grandes Trios,Los Panchos,,161200,bolero-bolero mexicano-ranchera
Odiame,30 Mejores,Julio Jaramillo,,172400,bolero-folklore ecuatoriano-musica popular colombiana
Historia de un Amor,Canta En Español Con Los Panchos,Eydie Gormé-Los Panchos,,150866,adult standards-bolero-bolero mexicano-ranchera
Historia Sin Fin,Rudo Y Cursi (Disco Rudo),Adanowsky,,181141,latin alternative-latin rock-mexican indie-mexican rock-rock en espanol
